id,text,category,sentiment
68,Уведомление о прибытии пришло вовремя,доставка,положительный
69,Статус заказа не менялся десять дней,доставка,отрицательный
70,Доставка платная но быстрая,доставка,нейтральный
71,Курьер согласился подождать пять минут,доставка,положительный
72,В пункте выдачи очередь на сорок минут,доставка,отрицательный
73,Привезли раньше согласованного времени без звонка,доставка,нейтральный
74,Собрали заказ не полностью не хватало одной позиции,доставка,отрицательный
75,Логистика работает чётко второй раз заказываю,доставка,положительный
76,Коробка приехала мокрая после дождя,доставка,отрицательный
77,Интервал доставки узкий это удобно,доставка,положительный
78,Заказ приехал стандартно ничего не скажу,доставка,нейтральный
79,Самовывоз оформили за две минуты,доставка,положительный
80,Перепутали посылки пришлось менять,доставка,отрицательный
81,Курьер не смог найти подъезд,доставка,отрицательный
82,Доставку перенесли по моей просьбе без проблем,доставка,положительный
83,Пришло в обычной серой коробке,доставка,нейтральный
84,Ждал курьера весь день он не приехал,доставка,отрицательный
85,Металл прочный не гнётся,качество,положительный
86,Краска облезла после первой протирки,качество,отрицательный
87,Швы кривые нитки торчат,качество,отрицательный
88,Всё работает как и должно,качество,нейтральный
89,Кнопки нажимаются мягко и чётко,качество,положительный
90,Устройство греется до горячего за полчаса,качество,отрицательный
91,Экран яркий картинка сочная,качество,положительный
92,Батарея держит вдвое меньше заявленного,качество,отрицательный
93,Соответствует фото на сайте,качество,нейтральный
94,Приятная фактура и вес ощущается дорого,качество,положительный
95,Разъём разболтался за две недели,качество,отрицательный
96,Сидит по фигуре ткань не тянется,качество,положительный
97,Запах пластика не выветривается неделю,качество,отрицательный
98,Обычный товар без изысков,качество,нейтральный
99,Печать чёткая страницы не просвечивают,качество,положительный
100,Ножка отвалилась при первой сборке,качество,отрицательный
101,Стекло поцарапалось от ключей в кармане,качество,отрицательный
102,Работает тихо почти не слышно,качество,положительный
103,Размер оказался меньше указанного в таблице,качество,отрицательный
104,Функционал базовый но исправный,качество,нейтральный
105,Резинка растянулась после двух носок,качество,отрицательный
106,Держит заряд третий день,качество,положительный
107,Подставка шатается на ровном столе,качество,отрицательный
108,Комплектация полная всё на месте,качество,положительный
109,Клей на стыках виден невооружённым глазом,качество,отрицательный
110,Сборка аккуратная зазоров нет,качество,положительный
111,Изображение блёклое углы обзора маленькие,качество,отрицательный
112,Нормальный товар ожидания оправдал,качество,нейтральный
113,Взял на распродаже вышло вдвое дешевле,цена,положительный
114,Переплатил за бренд функции те же,цена,отрицательный
115,Стоимость соответствует ожиданиям,цена,нейтральный
116,Нашёл дешевле в другом магазине через час,цена,отрицательный
117,Отличный ценник для такой комплектации,цена,положительный
118,Доставка обошлась дороже самого товара,цена,отрицательный
119,Ценник обычный для этой категории,цена,нейтральный
120,Бонусами списал половину суммы,цена,положительный
121,Акция закончилась пока оформлял заказ,цена,отрицательный
122,За те же деньги конкуренты дают больше,цена,отрицательный
123,Рассрочка без переплаты это удобно,цена,положительный
124,Цена в корзине не совпала с ценой в каталоге,цена,отрицательный
125,По деньгам вышло как и планировал,цена,нейтральный
126,Скидка постоянному покупателю приятный бонус,цена,положительный
127,Стоимость выросла на треть за месяц,цена,отрицательный
128,Дешевле аналогов при том же наборе,цена,положительный
129,Средний ценник ничего выдающегося,цена,нейтральный
130,Взяли деньги дважды за один заказ,цена,отрицательный
131,Выгодно вышло по итоговому чеку,цена,положительный
132,Кэшбэк не начислили как обещали,цена,отрицательный
133,Цена честная без накруток,цена,положительный
134,Оплата прошла сумма списалась корректно,цена,нейтральный
135,Дорого для такого качества сборки,цена,отрицательный
136,Оператор перезвонил через минуту после заявки,поддержка,положительный
137,На письмо не ответили вообще,поддержка,отрицательный
138,Проконсультировали подробно по всем пунктам,поддержка,положительный
139,Каждый раз объясняю проблему заново новому оператору,поддержка,отрицательный
140,Заявку приняли обещали разобраться,поддержка,нейтральный
141,Помогли оформить возврат за пять минут,поддержка,положительный
142,Отвечают только шаблонами не читая вопрос,поддержка,отрицательный
143,Специалист разобрался в нестандартной ситуации,поддержка,положительный
144,Висел на линии двадцать минут и сбросили,поддержка,отрицательный
145,Обратную связь дали в рабочие сроки,поддержка,нейтральный
146,Извинились и компенсировали неудобства,поддержка,положительный
147,Отправили к производителю сказали не наша зона,поддержка,отрицательный
148,Сотрудник знает товар отвечает по существу,поддержка,положительный
149,Обещали перезвонить и не перезвонили,поддержка,отрицательный
150,Обращение зарегистрировали жду решения,поддержка,нейтральный
151,Решили вопрос с первого обращения,поддержка,положительный
152,Требуют документы которых нет в правилах,поддержка,отрицательный
153,Чат работает круглосуточно это плюс,поддержка,положительный
154,Три недели переписки и ноль результата,поддержка,отрицательный
155,Ответ пришёл в течение суток как заявлено,поддержка,нейтральный
156,Пошли навстречу и продлили гарантию,поддержка,положительный
157,Отказали в возврате без объяснения причин,поддержка,отрицательный
158,Инструкцию прислали сразу после запроса,поддержка,положительный
159,Робот в чате не переключает на человека,поддержка,отрицательный
160,Связался с поддержкой вопрос уточнили,поддержка,нейтральный
161,Заменили товар без лишней бюрократии,поддержка,положительный
162,Курьер позвонил заранее и уточнил время,доставка,положительный
163,Посылку вернули отправителю без предупреждения,доставка,отрицательный
164,Наушники сели по уху не выпадают,качество,положительный
165,Провод жёсткий постоянно скручивается,качество,отрицательный
166,За такие деньги неплохой набор,цена,положительный
167,Тариф на доставку подняли без уведомления,цена,отрицательный
168,Поддержка ответила поздно но вопрос решила,поддержка,нейтральный
169,Оператор был груб в переписке,поддержка,отрицательный
170,Заказ доставили в назначенный день,доставка,нейтральный
171,Материал не мнётся выглядит опрятно,качество,положительный
172,Итоговая сумма оказалась ниже ожидаемой,цена,положительный
173,Гарантию оформили сразу при покупке,поддержка,положительный
174,Курьер перепутал этаж но всё нашёл,доставка,нейтральный
175,Корпус треснул от лёгкого падения,качество,отрицательный
176,Промоакция реально выгодная,цена,положительный
177,В поддержке отфутболивают между отделами,поддержка,отрицательный
178,Доставка бесплатная от небольшой суммы,цена,положительный
179,Комплект пришёл в заводской плёнке,качество,нейтральный
180,Заявку закрыли не решив проблему,поддержка,отрицательный
